word,part_of_speech,class,definition_en,definition_sn,example_sentence,synonyms,antonyms,source
unovhara,verb,,"you (singular) close, shut (conjugation: present habitual tense)",chiito chokusimbisa chemunhu: you (singular) kubva pane: kuvhara,,,,Morphological Engine (Conjugation of kuvhara)
urikuvhara,verb,,"you (singular) are currently close, shut (conjugation: progressive tense)",chiito chiri kuitika iye zvino chemunhu: you (singular) kubva pane: kuvhara,,,,Morphological Engine (Conjugation of kuvhara)
wavhara,verb,,"you (singular) close, shut recently (conjugation: near past tense)",chiito chakaitika achangobva chemunhu: you (singular) kubva pane: kuvhara,,,,Morphological Engine (Conjugation of kuvhara)
wakavhara,verb,,"you (singular) close, shut (conjugation: remote past tense)",chiito chakaitika kare chemunhu: you (singular) kubva pane: kuvhara,,,,Morphological Engine (Conjugation of kuvhara)
uchavhara,verb,,"you (singular) will close, shut (conjugation: future tense)",chiito chichazoitika chemunhu: you (singular) kubva pane: kuvhara,,,,Morphological Engine (Conjugation of kuvhara)
anovhara,verb,,"he/she/it close, shut (conjugation: present habitual tense)",chiito chokusimbisa chemunhu: he/she/it kubva pane: kuvhara,,,,Morphological Engine (Conjugation of kuvhara)
arikuvhara,verb,,"he/she/it is currently close, shut (conjugation: progressive tense)",chiito chiri kuitika iye zvino chemunhu: he/she/it kubva pane: kuvhara,,,,Morphological Engine (Conjugation of kuvhara)
avhara,verb,,"he/she/it close, shut recently (conjugation: near past tense)",chiito chakaitika achangobva chemunhu: he/she/it kubva pane: kuvhara,,,,Morphological Engine (Conjugation of kuvhara)
akavhara,verb,,"he/she/it close, shut (conjugation: remote past tense)",chiito chakaitika kare chemunhu: he/she/it kubva pane: kuvhara,,,,Morphological Engine (Conjugation of kuvhara)
achavhara,verb,,"he/she/it will close, shut (conjugation: future tense)",chiito chichazoitika chemunhu: he/she/it kubva pane: kuvhara,,,,Morphological Engine (Conjugation of kuvhara)
tinovhara,verb,,"we close, shut (conjugation: present habitual tense)",chiito chokusimbisa chemunhu: we kubva pane: kuvhara,,,,Morphological Engine (Conjugation of kuvhara)
tirikuvhara,verb,,"we are currently close, shut (conjugation: progressive tense)",chiito chiri kuitika iye zvino chemunhu: we kubva pane: kuvhara,,,,Morphological Engine (Conjugation of kuvhara)
tavhara,verb,,"we close, shut recently (conjugation: near past tense)",chiito chakaitika achangobva chemunhu: we kubva pane: kuvhara,,,,Morphological Engine (Conjugation of kuvhara)
takavhara,verb,,"we close, shut (conjugation: remote past tense)",chiito chakaitika kare chemunhu: we kubva pane: kuvhara,,,,Morphological Engine (Conjugation of kuvhara)
tichavhara,verb,,"we will close, shut (conjugation: future tense)",chiito chichazoitika chemunhu: we kubva pane: kuvhara,,,,Morphological Engine (Conjugation of kuvhara)
munovhara,verb,,"you (plural) close, shut (conjugation: present habitual tense)",chiito chokusimbisa chemunhu: you (plural) kubva pane: kuvhara,,,,Morphological Engine (Conjugation of kuvhara)
murikuvhara,verb,,"you (plural) are currently close, shut (conjugation: progressive tense)",chiito chiri kuitika iye zvino chemunhu: you (plural) kubva pane: kuvhara,,,,Morphological Engine (Conjugation of kuvhara)
mavhara,verb,,"you (plural) close, shut recently (conjugation: near past tense)",chiito chakaitika achangobva chemunhu: you (plural) kubva pane: kuvhara,,,,Morphological Engine (Conjugation of kuvhara)
makavhara,verb,,"you (plural) close, shut (conjugation: remote past tense)",chiito chakaitika kare chemunhu: you (plural) kubva pane: kuvhara,,,,Morphological Engine (Conjugation of kuvhara)
muchavhara,verb,,"you (plural) will close, shut (conjugation: future tense)",chiito chichazoitika chemunhu: you (plural) kubva pane: kuvhara,,,,Morphological Engine (Conjugation of kuvhara)
vanovhara,verb,,"they close, shut (conjugation: present habitual tense)",chiito chokusimbisa chemunhu: they kubva pane: kuvhara,,,,Morphological Engine (Conjugation of kuvhara)
varikuvhara,verb,,"they are currently close, shut (conjugation: progressive tense)",chiito chiri kuitika iye zvino chemunhu: they kubva pane: kuvhara,,,,Morphological Engine (Conjugation of kuvhara)
vavhara,verb,,"they close, shut recently (conjugation: near past tense)",chiito chakaitika achangobva chemunhu: they kubva pane: kuvhara,,,,Morphological Engine (Conjugation of kuvhara)
vakavhara,verb,,"they close, shut (conjugation: remote past tense)",chiito chakaitika kare chemunhu: they kubva pane: kuvhara,,,,Morphological Engine (Conjugation of kuvhara)
vachavhara,verb,,"they will close, shut (conjugation: future tense)",chiito chichazoitika chemunhu: they kubva pane: kuvhara,,,,Morphological Engine (Conjugation of kuvhara)
ndinovira,verb,,I boil (conjugation: present habitual tense),chiito chokusimbisa chemunhu: I kubva pane: kuvira,,,,Morphological Engine (Conjugation of kuvira)
ndirikuvira,verb,,I am currently boil (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: I kubva pane: kuvira,,,,Morphological Engine (Conjugation of kuvira)
ndavira,verb,,I boil recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: I kubva pane: kuvira,,,,Morphological Engine (Conjugation of kuvira)
ndakavira,verb,,I boil (conjugation: remote past tense),chiito chakaitika kare chemunhu: I kubva pane: kuvira,,,,Morphological Engine (Conjugation of kuvira)
ndichavira,verb,,I will boil (conjugation: future tense),chiito chichazoitika chemunhu: I kubva pane: kuvira,,,,Morphological Engine (Conjugation of kuvira)
unovira,verb,,you (singular) boil (conjugation: present habitual tense),chiito chokusimbisa chemunhu: you (singular) kubva pane: kuvira,,,,Morphological Engine (Conjugation of kuvira)
urikuvira,verb,,you (singular) are currently boil (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: you (singular) kubva pane: kuvira,,,,Morphological Engine (Conjugation of kuvira)
wavira,verb,,you (singular) boil recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: you (singular) kubva pane: kuvira,,,,Morphological Engine (Conjugation of kuvira)
wakavira,verb,,you (singular) boil (conjugation: remote past tense),chiito chakaitika kare chemunhu: you (singular) kubva pane: kuvira,,,,Morphological Engine (Conjugation of kuvira)
uchavira,verb,,you (singular) will boil (conjugation: future tense),chiito chichazoitika chemunhu: you (singular) kubva pane: kuvira,,,,Morphological Engine (Conjugation of kuvira)
anovira,verb,,he/she/it boil (conjugation: present habitual tense),chiito chokusimbisa chemunhu: he/she/it kubva pane: kuvira,,,,Morphological Engine (Conjugation of kuvira)
arikuvira,verb,,he/she/it is currently boil (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: he/she/it kubva pane: kuvira,,,,Morphological Engine (Conjugation of kuvira)
avira,verb,,he/she/it boil recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: he/she/it kubva pane: kuvira,,,,Morphological Engine (Conjugation of kuvira)
akavira,verb,,he/she/it boil (conjugation: remote past tense),chiito chakaitika kare chemunhu: he/she/it kubva pane: kuvira,,,,Morphological Engine (Conjugation of kuvira)
achavira,verb,,he/she/it will boil (conjugation: future tense),chiito chichazoitika chemunhu: he/she/it kubva pane: kuvira,,,,Morphological Engine (Conjugation of kuvira)
tinovira,verb,,we boil (conjugation: present habitual tense),chiito chokusimbisa chemunhu: we kubva pane: kuvira,,,,Morphological Engine (Conjugation of kuvira)
tirikuvira,verb,,we are currently boil (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: we kubva pane: kuvira,,,,Morphological Engine (Conjugation of kuvira)
tavira,verb,,we boil recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: we kubva pane: kuvira,,,,Morphological Engine (Conjugation of kuvira)
takavira,verb,,we boil (conjugation: remote past tense),chiito chakaitika kare chemunhu: we kubva pane: kuvira,,,,Morphological Engine (Conjugation of kuvira)
tichavira,verb,,we will boil (conjugation: future tense),chiito chichazoitika chemunhu: we kubva pane: kuvira,,,,Morphological Engine (Conjugation of kuvira)
munovira,verb,,you (plural) boil (conjugation: present habitual tense),chiito chokusimbisa chemunhu: you (plural) kubva pane: kuvira,,,,Morphological Engine (Conjugation of kuvira)
murikuvira,verb,,you (plural) are currently boil (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: you (plural) kubva pane: kuvira,,,,Morphological Engine (Conjugation of kuvira)
mavira,verb,,you (plural) boil recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: you (plural) kubva pane: kuvira,,,,Morphological Engine (Conjugation of kuvira)
makavira,verb,,you (plural) boil (conjugation: remote past tense),chiito chakaitika kare chemunhu: you (plural) kubva pane: kuvira,,,,Morphological Engine (Conjugation of kuvira)
muchavira,verb,,you (plural) will boil (conjugation: future tense),chiito chichazoitika chemunhu: you (plural) kubva pane: kuvira,,,,Morphological Engine (Conjugation of kuvira)
vanovira,verb,,they boil (conjugation: present habitual tense),chiito chokusimbisa chemunhu: they kubva pane: kuvira,,,,Morphological Engine (Conjugation of kuvira)
varikuvira,verb,,they are currently boil (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: they kubva pane: kuvira,,,,Morphological Engine (Conjugation of kuvira)
vavira,verb,,they boil recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: they kubva pane: kuvira,,,,Morphological Engine (Conjugation of kuvira)
vakavira,verb,,they boil (conjugation: remote past tense),chiito chakaitika kare chemunhu: they kubva pane: kuvira,,,,Morphological Engine (Conjugation of kuvira)
vachavira,verb,,they will boil (conjugation: future tense),chiito chichazoitika chemunhu: they kubva pane: kuvira,,,,Morphological Engine (Conjugation of kuvira)
ndinoziva,verb,,I know; be acquainted with (conjugation: present habitual tense),chiito chokusimbisa chemunhu: I kubva pane: kuziva,,,,Morphological Engine (Conjugation of kuziva)
ndirikuziva,verb,,I am currently know; be acquainted with (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: I kubva pane: kuziva,,,,Morphological Engine (Conjugation of kuziva)
ndaziva,verb,,I know; be acquainted with recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: I kubva pane: kuziva,,,,Morphological Engine (Conjugation of kuziva)
ndakaziva,verb,,I know; be acquainted with (conjugation: remote past tense),chiito chakaitika kare chemunhu: I kubva pane: kuziva,,,,Morphological Engine (Conjugation of kuziva)
ndichaziva,verb,,I will know; be acquainted with (conjugation: future tense),chiito chichazoitika chemunhu: I kubva pane: kuziva,,,,Morphological Engine (Conjugation of kuziva)
unoziva,verb,,you (singular) know; be acquainted with (conjugation: present habitual tense),chiito chokusimbisa chemunhu: you (singular) kubva pane: kuziva,,,,Morphological Engine (Conjugation of kuziva)
urikuziva,verb,,you (singular) are currently know; be acquainted with (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: you (singular) kubva pane: kuziva,,,,Morphological Engine (Conjugation of kuziva)
waziva,verb,,you (singular) know; be acquainted with recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: you (singular) kubva pane: kuziva,,,,Morphological Engine (Conjugation of kuziva)
wakaziva,verb,,you (singular) know; be acquainted with (conjugation: remote past tense),chiito chakaitika kare chemunhu: you (singular) kubva pane: kuziva,,,,Morphological Engine (Conjugation of kuziva)
uchaziva,verb,,you (singular) will know; be acquainted with (conjugation: future tense),chiito chichazoitika chemunhu: you (singular) kubva pane: kuziva,,,,Morphological Engine (Conjugation of kuziva)
anoziva,verb,,he/she/it know; be acquainted with (conjugation: present habitual tense),chiito chokusimbisa chemunhu: he/she/it kubva pane: kuziva,,,,Morphological Engine (Conjugation of kuziva)
arikuziva,verb,,he/she/it is currently know; be acquainted with (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: he/she/it kubva pane: kuziva,,,,Morphological Engine (Conjugation of kuziva)
aziva,verb,,he/she/it know; be acquainted with recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: he/she/it kubva pane: kuziva,,,,Morphological Engine (Conjugation of kuziva)
akaziva,verb,,he/she/it know; be acquainted with (conjugation: remote past tense),chiito chakaitika kare chemunhu: he/she/it kubva pane: kuziva,,,,Morphological Engine (Conjugation of kuziva)
achaziva,verb,,he/she/it will know; be acquainted with (conjugation: future tense),chiito chichazoitika chemunhu: he/she/it kubva pane: kuziva,,,,Morphological Engine (Conjugation of kuziva)
tinoziva,verb,,we know; be acquainted with (conjugation: present habitual tense),chiito chokusimbisa chemunhu: we kubva pane: kuziva,,,,Morphological Engine (Conjugation of kuziva)
tirikuziva,verb,,we are currently know; be acquainted with (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: we kubva pane: kuziva,,,,Morphological Engine (Conjugation of kuziva)
taziva,verb,,we know; be acquainted with recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: we kubva pane: kuziva,,,,Morphological Engine (Conjugation of kuziva)
takaziva,verb,,we know; be acquainted with (conjugation: remote past tense),chiito chakaitika kare chemunhu: we kubva pane: kuziva,,,,Morphological Engine (Conjugation of kuziva)
tichaziva,verb,,we will know; be acquainted with (conjugation: future tense),chiito chichazoitika chemunhu: we kubva pane: kuziva,,,,Morphological Engine (Conjugation of kuziva)
munoziva,verb,,you (plural) know; be acquainted with (conjugation: present habitual tense),chiito chokusimbisa chemunhu: you (plural) kubva pane: kuziva,,,,Morphological Engine (Conjugation of kuziva)
murikuziva,verb,,you (plural) are currently know; be acquainted with (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: you (plural) kubva pane: kuziva,,,,Morphological Engine (Conjugation of kuziva)
maziva,verb,,you (plural) know; be acquainted with recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: you (plural) kubva pane: kuziva,,,,Morphological Engine (Conjugation of kuziva)
makaziva,verb,,you (plural) know; be acquainted with (conjugation: remote past tense),chiito chakaitika kare chemunhu: you (plural) kubva pane: kuziva,,,,Morphological Engine (Conjugation of kuziva)
muchaziva,verb,,you (plural) will know; be acquainted with (conjugation: future tense),chiito chichazoitika chemunhu: you (plural) kubva pane: kuziva,,,,Morphological Engine (Conjugation of kuziva)
vanoziva,verb,,they know; be acquainted with (conjugation: present habitual tense),chiito chokusimbisa chemunhu: they kubva pane: kuziva,,,,Morphological Engine (Conjugation of kuziva)
varikuziva,verb,,they are currently know; be acquainted with (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: they kubva pane: kuziva,,,,Morphological Engine (Conjugation of kuziva)
vaziva,verb,,they know; be acquainted with recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: they kubva pane: kuziva,,,,Morphological Engine (Conjugation of kuziva)
vakaziva,verb,,they know; be acquainted with (conjugation: remote past tense),chiito chakaitika kare chemunhu: they kubva pane: kuziva,,,,Morphological Engine (Conjugation of kuziva)
vachaziva,verb,,they will know; be acquainted with (conjugation: future tense),chiito chichazoitika chemunhu: they kubva pane: kuziva,,,,Morphological Engine (Conjugation of kuziva)
ndinozvara,verb,,I bear (conjugation: present habitual tense),chiito chokusimbisa chemunhu: I kubva pane: kuzvara,,,,Morphological Engine (Conjugation of kuzvara)
ndirikuzvara,verb,,I am currently bear (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: I kubva pane: kuzvara,,,,Morphological Engine (Conjugation of kuzvara)
ndazvara,verb,,I bear recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: I kubva pane: kuzvara,,,,Morphological Engine (Conjugation of kuzvara)
ndakazvara,verb,,I bear (conjugation: remote past tense),chiito chakaitika kare chemunhu: I kubva pane: kuzvara,,,,Morphological Engine (Conjugation of kuzvara)
ndichazvara,verb,,I will bear (conjugation: future tense),chiito chichazoitika chemunhu: I kubva pane: kuzvara,,,,Morphological Engine (Conjugation of kuzvara)
unozvara,verb,,you (singular) bear (conjugation: present habitual tense),chiito chokusimbisa chemunhu: you (singular) kubva pane: kuzvara,,,,Morphological Engine (Conjugation of kuzvara)
urikuzvara,verb,,you (singular) are currently bear (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: you (singular) kubva pane: kuzvara,,,,Morphological Engine (Conjugation of kuzvara)
wazvara,verb,,you (singular) bear recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: you (singular) kubva pane: kuzvara,,,,Morphological Engine (Conjugation of kuzvara)
wakazvara,verb,,you (singular) bear (conjugation: remote past tense),chiito chakaitika kare chemunhu: you (singular) kubva pane: kuzvara,,,,Morphological Engine (Conjugation of kuzvara)
uchazvara,verb,,you (singular) will bear (conjugation: future tense),chiito chichazoitika chemunhu: you (singular) kubva pane: kuzvara,,,,Morphological Engine (Conjugation of kuzvara)
anozvara,verb,,he/she/it bear (conjugation: present habitual tense),chiito chokusimbisa chemunhu: he/she/it kubva pane: kuzvara,,,,Morphological Engine (Conjugation of kuzvara)
arikuzvara,verb,,he/she/it is currently bear (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: he/she/it kubva pane: kuzvara,,,,Morphological Engine (Conjugation of kuzvara)
azvara,verb,,he/she/it bear recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: he/she/it kubva pane: kuzvara,,,,Morphological Engine (Conjugation of kuzvara)
akazvara,verb,,he/she/it bear (conjugation: remote past tense),chiito chakaitika kare chemunhu: he/she/it kubva pane: kuzvara,,,,Morphological Engine (Conjugation of kuzvara)
achazvara,verb,,he/she/it will bear (conjugation: future tense),chiito chichazoitika chemunhu: he/she/it kubva pane: kuzvara,,,,Morphological Engine (Conjugation of kuzvara)
tinozvara,verb,,we bear (conjugation: present habitual tense),chiito chokusimbisa chemunhu: we kubva pane: kuzvara,,,,Morphological Engine (Conjugation of kuzvara)
tirikuzvara,verb,,we are currently bear (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: we kubva pane: kuzvara,,,,Morphological Engine (Conjugation of kuzvara)
tazvara,verb,,we bear recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: we kubva pane: kuzvara,,,,Morphological Engine (Conjugation of kuzvara)
takazvara,verb,,we bear (conjugation: remote past tense),chiito chakaitika kare chemunhu: we kubva pane: kuzvara,,,,Morphological Engine (Conjugation of kuzvara)
tichazvara,verb,,we will bear (conjugation: future tense),chiito chichazoitika chemunhu: we kubva pane: kuzvara,,,,Morphological Engine (Conjugation of kuzvara)
munozvara,verb,,you (plural) bear (conjugation: present habitual tense),chiito chokusimbisa chemunhu: you (plural) kubva pane: kuzvara,,,,Morphological Engine (Conjugation of kuzvara)
murikuzvara,verb,,you (plural) are currently bear (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: you (plural) kubva pane: kuzvara,,,,Morphological Engine (Conjugation of kuzvara)
mazvara,verb,,you (plural) bear recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: you (plural) kubva pane: kuzvara,,,,Morphological Engine (Conjugation of kuzvara)
makazvara,verb,,you (plural) bear (conjugation: remote past tense),chiito chakaitika kare chemunhu: you (plural) kubva pane: kuzvara,,,,Morphological Engine (Conjugation of kuzvara)
muchazvara,verb,,you (plural) will bear (conjugation: future tense),chiito chichazoitika chemunhu: you (plural) kubva pane: kuzvara,,,,Morphological Engine (Conjugation of kuzvara)
vanozvara,verb,,they bear (conjugation: present habitual tense),chiito chokusimbisa chemunhu: they kubva pane: kuzvara,,,,Morphological Engine (Conjugation of kuzvara)
varikuzvara,verb,,they are currently bear (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: they kubva pane: kuzvara,,,,Morphological Engine (Conjugation of kuzvara)
vazvara,verb,,they bear recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: they kubva pane: kuzvara,,,,Morphological Engine (Conjugation of kuzvara)
vakazvara,verb,,they bear (conjugation: remote past tense),chiito chakaitika kare chemunhu: they kubva pane: kuzvara,,,,Morphological Engine (Conjugation of kuzvara)
vachazvara,verb,,they will bear (conjugation: future tense),chiito chichazoitika chemunhu: they kubva pane: kuzvara,,,,Morphological Engine (Conjugation of kuzvara)
ndinozvimba,verb,,I swell (conjugation: present habitual tense),chiito chokusimbisa chemunhu: I kubva pane: kuzvimba,,,,Morphological Engine (Conjugation of kuzvimba)
ndirikuzvimba,verb,,I am currently swell (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: I kubva pane: kuzvimba,,,,Morphological Engine (Conjugation of kuzvimba)
ndazvimba,verb,,I swell recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: I kubva pane: kuzvimba,,,,Morphological Engine (Conjugation of kuzvimba)
ndakazvimba,verb,,I swell (conjugation: remote past tense),chiito chakaitika kare chemunhu: I kubva pane: kuzvimba,,,,Morphological Engine (Conjugation of kuzvimba)
ndichazvimba,verb,,I will swell (conjugation: future tense),chiito chichazoitika chemunhu: I kubva pane: kuzvimba,,,,Morphological Engine (Conjugation of kuzvimba)
unozvimba,verb,,you (singular) swell (conjugation: present habitual tense),chiito chokusimbisa chemunhu: you (singular) kubva pane: kuzvimba,,,,Morphological Engine (Conjugation of kuzvimba)
urikuzvimba,verb,,you (singular) are currently swell (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: you (singular) kubva pane: kuzvimba,,,,Morphological Engine (Conjugation of kuzvimba)
wazvimba,verb,,you (singular) swell recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: you (singular) kubva pane: kuzvimba,,,,Morphological Engine (Conjugation of kuzvimba)
wakazvimba,verb,,you (singular) swell (conjugation: remote past tense),chiito chakaitika kare chemunhu: you (singular) kubva pane: kuzvimba,,,,Morphological Engine (Conjugation of kuzvimba)
uchazvimba,verb,,you (singular) will swell (conjugation: future tense),chiito chichazoitika chemunhu: you (singular) kubva pane: kuzvimba,,,,Morphological Engine (Conjugation of kuzvimba)
anozvimba,verb,,he/she/it swell (conjugation: present habitual tense),chiito chokusimbisa chemunhu: he/she/it kubva pane: kuzvimba,,,,Morphological Engine (Conjugation of kuzvimba)
arikuzvimba,verb,,he/she/it is currently swell (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: he/she/it kubva pane: kuzvimba,,,,Morphological Engine (Conjugation of kuzvimba)
azvimba,verb,,he/she/it swell recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: he/she/it kubva pane: kuzvimba,,,,Morphological Engine (Conjugation of kuzvimba)
akazvimba,verb,,he/she/it swell (conjugation: remote past tense),chiito chakaitika kare chemunhu: he/she/it kubva pane: kuzvimba,,,,Morphological Engine (Conjugation of kuzvimba)
achazvimba,verb,,he/she/it will swell (conjugation: future tense),chiito chichazoitika chemunhu: he/she/it kubva pane: kuzvimba,,,,Morphological Engine (Conjugation of kuzvimba)
tinozvimba,verb,,we swell (conjugation: present habitual tense),chiito chokusimbisa chemunhu: we kubva pane: kuzvimba,,,,Morphological Engine (Conjugation of kuzvimba)
tirikuzvimba,verb,,we are currently swell (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: we kubva pane: kuzvimba,,,,Morphological Engine (Conjugation of kuzvimba)
tazvimba,verb,,we swell recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: we kubva pane: kuzvimba,,,,Morphological Engine (Conjugation of kuzvimba)
takazvimba,verb,,we swell (conjugation: remote past tense),chiito chakaitika kare chemunhu: we kubva pane: kuzvimba,,,,Morphological Engine (Conjugation of kuzvimba)
tichazvimba,verb,,we will swell (conjugation: future tense),chiito chichazoitika chemunhu: we kubva pane: kuzvimba,,,,Morphological Engine (Conjugation of kuzvimba)
munozvimba,verb,,you (plural) swell (conjugation: present habitual tense),chiito chokusimbisa chemunhu: you (plural) kubva pane: kuzvimba,,,,Morphological Engine (Conjugation of kuzvimba)
murikuzvimba,verb,,you (plural) are currently swell (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: you (plural) kubva pane: kuzvimba,,,,Morphological Engine (Conjugation of kuzvimba)
mazvimba,verb,,you (plural) swell recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: you (plural) kubva pane: kuzvimba,,,,Morphological Engine (Conjugation of kuzvimba)
makazvimba,verb,,you (plural) swell (conjugation: remote past tense),chiito chakaitika kare chemunhu: you (plural) kubva pane: kuzvimba,,,,Morphological Engine (Conjugation of kuzvimba)
muchazvimba,verb,,you (plural) will swell (conjugation: future tense),chiito chichazoitika chemunhu: you (plural) kubva pane: kuzvimba,,,,Morphological Engine (Conjugation of kuzvimba)
vanozvimba,verb,,they swell (conjugation: present habitual tense),chiito chokusimbisa chemunhu: they kubva pane: kuzvimba,,,,Morphological Engine (Conjugation of kuzvimba)
varikuzvimba,verb,,they are currently swell (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: they kubva pane: kuzvimba,,,,Morphological Engine (Conjugation of kuzvimba)
vazvimba,verb,,they swell recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: they kubva pane: kuzvimba,,,,Morphological Engine (Conjugation of kuzvimba)
vakazvimba,verb,,they swell (conjugation: remote past tense),chiito chakaitika kare chemunhu: they kubva pane: kuzvimba,,,,Morphological Engine (Conjugation of kuzvimba)
vachazvimba,verb,,they will swell (conjugation: future tense),chiito chichazoitika chemunhu: they kubva pane: kuzvimba,,,,Morphological Engine (Conjugation of kuzvimba)
ndinoda,verb,,I love; want; like (conjugation: present habitual tense),chiito chokusimbisa chemunhu: I kubva pane: kuda,,,,Morphological Engine (Conjugation of kuda)
ndirikuda,verb,,I am currently love; want; like (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: I kubva pane: kuda,,,,Morphological Engine (Conjugation of kuda)
ndada,verb,,I love; want; like recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: I kubva pane: kuda,,,,Morphological Engine (Conjugation of kuda)
ndakada,verb,,I love; want; like (conjugation: remote past tense),chiito chakaitika kare chemunhu: I kubva pane: kuda,,,,Morphological Engine (Conjugation of kuda)
ndichada,verb,,I will love; want; like (conjugation: future tense),chiito chichazoitika chemunhu: I kubva pane: kuda,,,,Morphological Engine (Conjugation of kuda)
unoda,verb,,you (singular) love; want; like (conjugation: present habitual tense),chiito chokusimbisa chemunhu: you (singular) kubva pane: kuda,,,,Morphological Engine (Conjugation of kuda)
urikuda,verb,,you (singular) are currently love; want; like (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: you (singular) kubva pane: kuda,,,,Morphological Engine (Conjugation of kuda)
wada,verb,,you (singular) love; want; like recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: you (singular) kubva pane: kuda,,,,Morphological Engine (Conjugation of kuda)
wakada,verb,,you (singular) love; want; like (conjugation: remote past tense),chiito chakaitika kare chemunhu: you (singular) kubva pane: kuda,,,,Morphological Engine (Conjugation of kuda)
uchada,verb,,you (singular) will love; want; like (conjugation: future tense),chiito chichazoitika chemunhu: you (singular) kubva pane: kuda,,,,Morphological Engine (Conjugation of kuda)
anoda,verb,,he/she/it love; want; like (conjugation: present habitual tense),chiito chokusimbisa chemunhu: he/she/it kubva pane: kuda,,,,Morphological Engine (Conjugation of kuda)
arikuda,verb,,he/she/it is currently love; want; like (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: he/she/it kubva pane: kuda,,,,Morphological Engine (Conjugation of kuda)
ada,verb,,he/she/it love; want; like recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: he/she/it kubva pane: kuda,,,,Morphological Engine (Conjugation of kuda)
akada,verb,,he/she/it love; want; like (conjugation: remote past tense),chiito chakaitika kare chemunhu: he/she/it kubva pane: kuda,,,,Morphological Engine (Conjugation of kuda)
achada,verb,,he/she/it will love; want; like (conjugation: future tense),chiito chichazoitika chemunhu: he/she/it kubva pane: kuda,,,,Morphological Engine (Conjugation of kuda)
tinoda,verb,,we love; want; like (conjugation: present habitual tense),chiito chokusimbisa chemunhu: we kubva pane: kuda,,,,Morphological Engine (Conjugation of kuda)
tirikuda,verb,,we are currently love; want; like (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: we kubva pane: kuda,,,,Morphological Engine (Conjugation of kuda)
tada,verb,,we love; want; like recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: we kubva pane: kuda,,,,Morphological Engine (Conjugation of kuda)
takada,verb,,we love; want; like (conjugation: remote past tense),chiito chakaitika kare chemunhu: we kubva pane: kuda,,,,Morphological Engine (Conjugation of kuda)
