mwana	child; offspring
makatora	you (plural) take; receive (conjugation: remote past tense)
muchatora	you (plural) will take; receive (conjugation: future tense)
vanotora	they take; receive (conjugation: present habitual tense)
varikutora	they are currently take; receive (conjugation: progressive tense)
vatora	they take; receive recently (conjugation: near past tense)
vakatora	they take; receive (conjugation: remote past tense)
vachatora	they will take; receive (conjugation: future tense)
ndinodaidza	I call; summon (conjugation: present habitual tense)
ndirikudaidza	I am currently call; summon (conjugation: progressive tense)
ndadaidza	I call; summon recently (conjugation: near past tense)
ndakadaidza	I call; summon (conjugation: remote past tense)
ndichadaidza	I will call; summon (conjugation: future tense)
unodaidza	you (singular) call; summon (conjugation: present habitual tense)
urikudaidza	you (singular) are currently call; summon (conjugation: progressive tense)
wadaidza	you (singular) call; summon recently (conjugation: near past tense)
wakadaidza	you (singular) call; summon (conjugation: remote past tense)
uchadaidza	you (singular) will call; summon (conjugation: future tense)
anodaidza	he/she/it call; summon (conjugation: present habitual tense)
arikudaidza	he/she/it is currently call; summon (conjugation: progressive tense)
adaidza	he/she/it call; summon recently (conjugation: near past tense)
akadaidza	he/she/it call; summon (conjugation: remote past tense)
achadaidza	he/she/it will call; summon (conjugation: future tense)
tinodaidza	we call; summon (conjugation: present habitual tense)
tirikudaidza	we are currently call; summon (conjugation: progressive tense)
tadaidza	we call; summon recently (conjugation: near past tense)
takadaidza	we call; summon (conjugation: remote past tense)
tichadaidza	we will call; summon (conjugation: future tense)
munodaidza	you (plural) call; summon (conjugation: present habitual tense)
murikudaidza	you (plural) are currently call; summon (conjugation: progressive tense)
madaidza	you (plural) call; summon recently (conjugation: near past tense)
makadaidza	you (plural) call; summon (conjugation: remote past tense)
muchadaidza	you (plural) will call; summon (conjugation: future tense)
vanodaidza	they call; summon (conjugation: present habitual tense)
varikudaidza	they are currently call; summon (conjugation: progressive tense)
vadaidza	they call; summon recently (conjugation: near past tense)
vakadaidza	they call; summon (conjugation: remote past tense)
vachadaidza	they will call; summon (conjugation: future tense)
ndinochema	I cry; weep; mourn (conjugation: present habitual tense)
ndirikuchema	I am currently cry; weep; mourn (conjugation: progressive tense)
ndachema	I cry; weep; mourn recently (conjugation: near past tense)
ndakachema	I cry; weep; mourn (conjugation: remote past tense)
ndichachema	I will cry; weep; mourn (conjugation: future tense)
unochema	you (singular) cry; weep; mourn (conjugation: present habitual tense)
urikuchema	you (singular) are currently cry; weep; mourn (conjugation: progressive tense)
wachema	you (singular) cry; weep; mourn recently (conjugation: near past tense)
wakachema	you (singular) cry; weep; mourn (conjugation: remote past tense)
uchachema	you (singular) will cry; weep; mourn (conjugation: future tense)
anochema	he/she/it cry; weep; mourn (conjugation: present habitual tense)
arikuchema	he/she/it is currently cry; weep; mourn (conjugation: progressive tense)
achema	he/she/it cry; weep; mourn recently (conjugation: near past tense)
akachema	he/she/it cry; weep; mourn (conjugation: remote past tense)
achachema	he/she/it will cry; weep; mourn (conjugation: future tense)
tinochema	we cry; weep; mourn (conjugation: present habitual tense)
tirikuchema	we are currently cry; weep; mourn (conjugation: progressive tense)
tachema	we cry; weep; mourn recently (conjugation: near past tense)
takachema	we cry; weep; mourn (conjugation: remote past tense)
tichachema	we will cry; weep; mourn (conjugation: future tense)
munochema	you (plural) cry; weep; mourn (conjugation: present habitual tense)
murikuchema	you (plural) are currently cry; weep; mourn (conjugation: progressive tense)
machema	you (plural) cry; weep; mourn recently (conjugation: near past tense)
makachema	you (plural) cry; weep; mourn (conjugation: remote past tense)
muchachema	you (plural) will cry; weep; mourn (conjugation: future tense)
vanochema	they cry; weep; mourn (conjugation: present habitual tense)
varikuchema	they are currently cry; weep; mourn (conjugation: progressive tense)
vachema	they cry; weep; mourn recently (conjugation: near past tense)
vakachema	they cry; weep; mourn (conjugation: remote past tense)
vachachema	they will cry; weep; mourn (conjugation: future tense)
ndinofunga	I think; ponder (conjugation: present habitual tense)
ndirikufunga	I am currently think; ponder (conjugation: progressive tense)
ndafunga	I think; ponder recently (conjugation: near past tense)
ndakafunga	I think; ponder (conjugation: remote past tense)
ndichafunga	I will think; ponder (conjugation: future tense)
unofunga	you (singular) think; ponder (conjugation: present habitual tense)
urikufunga	you (singular) are currently think; ponder (conjugation: progressive tense)
wafunga	you (singular) think; ponder recently (conjugation: near past tense)
wakafunga	you (singular) think; ponder (conjugation: remote past tense)
uchafunga	you (singular) will think; ponder (conjugation: future tense)
anofunga	he/she/it think; ponder (conjugation: present habitual tense)
arikufunga	he/she/it is currently think; ponder (conjugation: progressive tense)
afunga	he/she/it think; ponder recently (conjugation: near past tense)
akafunga	he/she/it think; ponder (conjugation: remote past tense)
achafunga	he/she/it will think; ponder (conjugation: future tense)
tinofunga	we think; ponder (conjugation: present habitual tense)
tirikufunga	we are currently think; ponder (conjugation: progressive tense)
tafunga	we think; ponder recently (conjugation: near past tense)
takafunga	we think; ponder (conjugation: remote past tense)
tichafunga	we will think; ponder (conjugation: future tense)
munofunga	you (plural) think; ponder (conjugation: present habitual tense)
murikufunga	you (plural) are currently think; ponder (conjugation: progressive tense)
mafunga	you (plural) think; ponder recently (conjugation: near past tense)
makafunga	you (plural) think; ponder (conjugation: remote past tense)
muchafunga	you (plural) will think; ponder (conjugation: future tense)
vanofunga	they think; ponder (conjugation: present habitual tense)
varikufunga	they are currently think; ponder (conjugation: progressive tense)
vafunga	they think; ponder recently (conjugation: near past tense)
vakafunga	they think; ponder (conjugation: remote past tense)
vachafunga	they will think; ponder (conjugation: future tense)
ndinopfirwa	I pour / to offer libation (to be v-ed) (conjugation: present habitual tense)
ndirikupfirwa	I am currently pour / to offer libation (to be v-ed) (conjugation: progressive tense)
ndapfirwa	I pour / to offer libation (to be v-ed) recently (conjugation: near past tense)
ndakapfirwa	I pour / to offer libation (to be v-ed) (conjugation: remote past tense)
ndichapfirwa	I will pour / to offer libation (to be v-ed) (conjugation: future tense)
unopfirwa	you (singular) pour / to offer libation (to be v-ed) (conjugation: present habitual tense)
urikupfirwa	you (singular) are currently pour / to offer libation (to be v-ed) (conjugation: progressive tense)
wapfirwa	you (singular) pour / to offer libation (to be v-ed) recently (conjugation: near past tense)
wakapfirwa	you (singular) pour / to offer libation (to be v-ed) (conjugation: remote past tense)
uchapfirwa	you (singular) will pour / to offer libation (to be v-ed) (conjugation: future tense)
anopfirwa	he/she/it pour / to offer libation (to be v-ed) (conjugation: present habitual tense)
arikupfirwa	he/she/it is currently pour / to offer libation (to be v-ed) (conjugation: progressive tense)
apfirwa	he/she/it pour / to offer libation (to be v-ed) recently (conjugation: near past tense)
akapfirwa	he/she/it pour / to offer libation (to be v-ed) (conjugation: remote past tense)
achapfirwa	he/she/it will pour / to offer libation (to be v-ed) (conjugation: future tense)
tinopfirwa	we pour / to offer libation (to be v-ed) (conjugation: present habitual tense)
tirikupfirwa	we are currently pour / to offer libation (to be v-ed) (conjugation: progressive tense)
tapfirwa	we pour / to offer libation (to be v-ed) recently (conjugation: near past tense)
takapfirwa	we pour / to offer libation (to be v-ed) (conjugation: remote past tense)
tichapfirwa	we will pour / to offer libation (to be v-ed) (conjugation: future tense)
munopfirwa	you (plural) pour / to offer libation (to be v-ed) (conjugation: present habitual tense)
murikupfirwa	you (plural) are currently pour / to offer libation (to be v-ed) (conjugation: progressive tense)
mapfirwa	you (plural) pour / to offer libation (to be v-ed) recently (conjugation: near past tense)
makapfirwa	you (plural) pour / to offer libation (to be v-ed) (conjugation: remote past tense)
muchapfirwa	you (plural) will pour / to offer libation (to be v-ed) (conjugation: future tense)
vanopfirwa	they pour / to offer libation (to be v-ed) (conjugation: present habitual tense)
varikupfirwa	they are currently pour / to offer libation (to be v-ed) (conjugation: progressive tense)
vapfirwa	they pour / to offer libation (to be v-ed) recently (conjugation: near past tense)
vakapfirwa	they pour / to offer libation (to be v-ed) (conjugation: remote past tense)
vachapfirwa	they will pour / to offer libation (to be v-ed) (conjugation: future tense)
ndinopfirisa	I pour / to offer libation (to cause to v; make v) (conjugation: present habitual tense)
ndirikupfirisa	I am currently pour / to offer libation (to cause to v; make v) (conjugation: progressive tense)
ndapfirisa	I pour / to offer libation (to cause to v; make v) recently (conjugation: near past tense)
ndakapfirisa	I pour / to offer libation (to cause to v; make v) (conjugation: remote past tense)
ndichapfirisa	I will pour / to offer libation (to cause to v; make v) (conjugation: future tense)
unopfirisa	you (singular) pour / to offer libation (to cause to v; make v) (conjugation: present habitual tense)
urikupfirisa	you (singular) are currently pour / to offer libation (to cause to v; make v) (conjugation: progressive tense)
wapfirisa	you (singular) pour / to offer libation (to cause to v; make v) recently (conjugation: near past tense)
wakapfirisa	you (singular) pour / to offer libation (to cause to v; make v) (conjugation: remote past tense)
uchapfirisa	you (singular) will pour / to offer libation (to cause to v; make v) (conjugation: future tense)
anopfirisa	he/she/it pour / to offer libation (to cause to v; make v) (conjugation: present habitual tense)
arikupfirisa	he/she/it is currently pour / to offer libation (to cause to v; make v) (conjugation: progressive tense)
apfirisa	he/she/it pour / to offer libation (to cause to v; make v) recently (conjugation: near past tense)
akapfirisa	he/she/it pour / to offer libation (to cause to v; make v) (conjugation: remote past tense)
achapfirisa	he/she/it will pour / to offer libation (to cause to v; make v) (conjugation: future tense)
tinopfirisa	we pour / to offer libation (to cause to v; make v) (conjugation: present habitual tense)
tirikupfirisa	we are currently pour / to offer libation (to cause to v; make v) (conjugation: progressive tense)
tapfirisa	we pour / to offer libation (to cause to v; make v) recently (conjugation: near past tense)
takapfirisa	we pour / to offer libation (to cause to v; make v) (conjugation: remote past tense)
tichapfirisa	we will pour / to offer libation (to cause to v; make v) (conjugation: future tense)
munopfirisa	you (plural) pour / to offer libation (to cause to v; make v) (conjugation: present habitual tense)
murikupfirisa	you (plural) are currently pour / to offer libation (to cause to v; make v) (conjugation: progressive tense)
mapfirisa	you (plural) pour / to offer libation (to cause to v; make v) recently (conjugation: near past tense)
makapfirisa	you (plural) pour / to offer libation (to cause to v; make v) (conjugation: remote past tense)
muchapfirisa	you (plural) will pour / to offer libation (to cause to v; make v) (conjugation: future tense)
vanopfirisa	they pour / to offer libation (to cause to v; make v) (conjugation: present habitual tense)
varikupfirisa	they are currently pour / to offer libation (to cause to v; make v) (conjugation: progressive tense)
vapfirisa	they pour / to offer libation (to cause to v; make v) recently (conjugation: near past tense)
vakapfirisa	they pour / to offer libation (to cause to v; make v) (conjugation: remote past tense)
vachapfirisa	they will pour / to offer libation (to cause to v; make v) (conjugation: future tense)
ndinopfirana	I pour / to offer libation (to v each other) (conjugation: present habitual tense)
ndirikupfirana	I am currently pour / to offer libation (to v each other) (conjugation: progressive tense)
ndapfirana	I pour / to offer libation (to v each other) recently (conjugation: near past tense)
ndakapfirana	I pour / to offer libation (to v each other) (conjugation: remote past tense)
ndichapfirana	I will pour / to offer libation (to v each other) (conjugation: future tense)
unopfirana	you (singular) pour / to offer libation (to v each other) (conjugation: present habitual tense)
urikupfirana	you (singular) are currently pour / to offer libation (to v each other) (conjugation: progressive tense)
wapfirana	you (singular) pour / to offer libation (to v each other) recently (conjugation: near past tense)
wakapfirana	you (singular) pour / to offer libation (to v each other) (conjugation: remote past tense)
uchapfirana	you (singular) will pour / to offer libation (to v each other) (conjugation: future tense)
anopfirana	he/she/it pour / to offer libation (to v each other) (conjugation: present habitual tense)
arikupfirana	he/she/it is currently pour / to offer libation (to v each other) (conjugation: progressive tense)
apfirana	he/she/it pour / to offer libation (to v each other) recently (conjugation: near past tense)
akapfirana	he/she/it pour / to offer libation (to v each other) (conjugation: remote past tense)
achapfirana	he/she/it will pour / to offer libation (to v each other) (conjugation: future tense)
tinopfirana	we pour / to offer libation (to v each other) (conjugation: present habitual tense)
tirikupfirana	we are currently pour / to offer libation (to v each other) (conjugation: progressive tense)
tapfirana	we pour / to offer libation (to v each other) recently (conjugation: near past tense)
takapfirana	we pour / to offer libation (to v each other) (conjugation: remote past tense)
tichapfirana	we will pour / to offer libation (to v each other) (conjugation: future tense)
munopfirana	you (plural) pour / to offer libation (to v each other) (conjugation: present habitual tense)
murikupfirana	you (plural) are currently pour / to offer libation (to v each other) (conjugation: progressive tense)
mapfirana	you (plural) pour / to offer libation (to v each other) recently (conjugation: near past tense)
makapfirana	you (plural) pour / to offer libation (to v each other) (conjugation: remote past tense)
muchapfirana	you (plural) will pour / to offer libation (to v each other) (conjugation: future tense)
vanopfirana	they pour / to offer libation (to v each other) (conjugation: present habitual tense)
varikupfirana	they are currently pour / to offer libation (to v each other) (conjugation: progressive tense)
vapfirana	they pour / to offer libation (to v each other) recently (conjugation: near past tense)
vakapfirana	they pour / to offer libation (to v each other) (conjugation: remote past tense)
vachapfirana	they will pour / to offer libation (to v each other) (conjugation: future tense)
ndinopfirira	I pour / to offer libation (to v for / at / on behalf of) (conjugation: present habitual tense)
ndirikupfirira	I am currently pour / to offer libation (to v for / at / on behalf of) (conjugation: progressive tense)
ndapfirira	I pour / to offer libation (to v for / at / on behalf of) recently (conjugation: near past tense)
ndakapfirira	I pour / to offer libation (to v for / at / on behalf of) (conjugation: remote past tense)
ndichapfirira	I will pour / to offer libation (to v for / at / on behalf of) (conjugation: future tense)
unopfirira	you (singular) pour / to offer libation (to v for / at / on behalf of) (conjugation: present habitual tense)
urikupfirira	you (singular) are currently pour / to offer libation (to v for / at / on behalf of) (conjugation: progressive tense)
wapfirira	you (singular) pour / to offer libation (to v for / at / on behalf of) recently (conjugation: near past tense)
wakapfirira	you (singular) pour / to offer libation (to v for / at / on behalf of) (conjugation: remote past tense)
uchapfirira	you (singular) will pour / to offer libation (to v for / at / on behalf of) (conjugation: future tense)
anopfirira	he/she/it pour / to offer libation (to v for / at / on behalf of) (conjugation: present habitual tense)
arikupfirira	he/she/it is currently pour / to offer libation (to v for / at / on behalf of) (conjugation: progressive tense)
apfirira	he/she/it pour / to offer libation (to v for / at / on behalf of) recently (conjugation: near past tense)
akapfirira	he/she/it pour / to offer libation (to v for / at / on behalf of) (conjugation: remote past tense)
achapfirira	he/she/it will pour / to offer libation (to v for / at / on behalf of) (conjugation: future tense)
tinopfirira	we pour / to offer libation (to v for / at / on behalf of) (conjugation: present habitual tense)
tirikupfirira	we are currently pour / to offer libation (to v for / at / on behalf of) (conjugation: progressive tense)
tapfirira	we pour / to offer libation (to v for / at / on behalf of) recently (conjugation: near past tense)
takapfirira	we pour / to offer libation (to v for / at / on behalf of) (conjugation: remote past tense)
tichapfirira	we will pour / to offer libation (to v for / at / on behalf of) (conjugation: future tense)
munopfirira	you (plural) pour / to offer libation (to v for / at / on behalf of) (conjugation: present habitual tense)
murikupfirira	you (plural) are currently pour / to offer libation (to v for / at / on behalf of) (conjugation: progressive tense)
mapfirira	you (plural) pour / to offer libation (to v for / at / on behalf of) recently (conjugation: near past tense)
makapfirira	you (plural) pour / to offer libation (to v for / at / on behalf of) (conjugation: remote past tense)
muchapfirira	you (plural) will pour / to offer libation (to v for / at / on behalf of) (conjugation: future tense)
vanopfirira	they pour / to offer libation (to v for / at / on behalf of) (conjugation: present habitual tense)
varikupfirira	they are currently pour / to offer libation (to v for / at / on behalf of) (conjugation: progressive tense)
vapfirira	they pour / to offer libation (to v for / at / on behalf of) recently (conjugation: near past tense)
vakapfirira	they pour / to offer libation (to v for / at / on behalf of) (conjugation: remote past tense)
vachapfirira	they will pour / to offer libation (to v for / at / on behalf of) (conjugation: future tense)
ndinopfirura	I pour / to offer libation (to un-v; reverse the action of v) (conjugation: present habitual tense)
ndirikupfirura	I am currently pour / to offer libation (to un-v; reverse the action of v) (conjugation: progressive tense)
ndapfirura	I pour / to offer libation (to un-v; reverse the action of v) recently (conjugation: near past tense)
ndakapfirura	I pour / to offer libation (to un-v; reverse the action of v) (conjugation: remote past tense)
ndichapfirura	I will pour / to offer libation (to un-v; reverse the action of v) (conjugation: future tense)
unopfirura	you (singular) pour / to offer libation (to un-v; reverse the action of v) (conjugation: present habitual tense)
urikupfirura	you (singular) are currently pour / to offer libation (to un-v; reverse the action of v) (conjugation: progressive tense)
wapfirura	you (singular) pour / to offer libation (to un-v; reverse the action of v) recently (conjugation: near past tense)
wakapfirura	you (singular) pour / to offer libation (to un-v; reverse the action of v) (conjugation: remote past tense)
uchapfirura	you (singular) will pour / to offer libation (to un-v; reverse the action of v) (conjugation: future tense)
anopfirura	he/she/it pour / to offer libation (to un-v; reverse the action of v) (conjugation: present habitual tense)
arikupfirura	he/she/it is currently pour / to offer libation (to un-v; reverse the action of v) (conjugation: progressive tense)
apfirura	he/she/it pour / to offer libation (to un-v; reverse the action of v) recently (conjugation: near past tense)
akapfirura	he/she/it pour / to offer libation (to un-v; reverse the action of v) (conjugation: remote past tense)
achapfirura	he/she/it will pour / to offer libation (to un-v; reverse the action of v) (conjugation: future tense)
tinopfirura	we pour / to offer libation (to un-v; reverse the action of v) (conjugation: present habitual tense)
tirikupfirura	we are currently pour / to offer libation (to un-v; reverse the action of v) (conjugation: progressive tense)
tapfirura	we pour / to offer libation (to un-v; reverse the action of v) recently (conjugation: near past tense)
takapfirura	we pour / to offer libation (to un-v; reverse the action of v) (conjugation: remote past tense)
tichapfirura	we will pour / to offer libation (to un-v; reverse the action of v) (conjugation: future tense)
munopfirura	you (plural) pour / to offer libation (to un-v; reverse the action of v) (conjugation: present habitual tense)
murikupfirura	you (plural) are currently pour / to offer libation (to un-v; reverse the action of v) (conjugation: progressive tense)
mapfirura	you (plural) pour / to offer libation (to un-v; reverse the action of v) recently (conjugation: near past tense)
makapfirura	you (plural) pour / to offer libation (to un-v; reverse the action of v) (conjugation: remote past tense)
muchapfirura	you (plural) will pour / to offer libation (to un-v; reverse the action of v) (conjugation: future tense)
vanopfirura	they pour / to offer libation (to un-v; reverse the action of v) (conjugation: present habitual tense)
varikupfirura	they are currently pour / to offer libation (to un-v; reverse the action of v) (conjugation: progressive tense)
vapfirura	they pour / to offer libation (to un-v; reverse the action of v) recently (conjugation: near past tense)
vakapfirura	they pour / to offer libation (to un-v; reverse the action of v) (conjugation: remote past tense)
vachapfirura	they will pour / to offer libation (to un-v; reverse the action of v) (conjugation: future tense)
ndinobiwa	I steal (to be v-ed) (conjugation: present habitual tense)
ndirikubiwa	I am currently steal (to be v-ed) (conjugation: progressive tense)
ndabiwa	I steal (to be v-ed) recently (conjugation: near past tense)
ndakabiwa	I steal (to be v-ed) (conjugation: remote past tense)
ndichabiwa	I will steal (to be v-ed) (conjugation: future tense)
unobiwa	you (singular) steal (to be v-ed) (conjugation: present habitual tense)
urikubiwa	you (singular) are currently steal (to be v-ed) (conjugation: progressive tense)
wabiwa	you (singular) steal (to be v-ed) recently (conjugation: near past tense)
wakabiwa	you (singular) steal (to be v-ed) (conjugation: remote past tense)
uchabiwa	you (singular) will steal (to be v-ed) (conjugation: future tense)
anobiwa	he/she/it steal (to be v-ed) (conjugation: present habitual tense)
arikubiwa	he/she/it is currently steal (to be v-ed) (conjugation: progressive tense)
abiwa	he/she/it steal (to be v-ed) recently (conjugation: near past tense)
akabiwa	he/she/it steal (to be v-ed) (conjugation: remote past tense)
achabiwa	he/she/it will steal (to be v-ed) (conjugation: future tense)
tinobiwa	we steal (to be v-ed) (conjugation: present habitual tense)
tirikubiwa	we are currently steal (to be v-ed) (conjugation: progressive tense)
tabiwa	we steal (to be v-ed) recently (conjugation: near past tense)
takabiwa	we steal (to be v-ed) (conjugation: remote past tense)
tichabiwa	we will steal (to be v-ed) (conjugation: future tense)
munobiwa	you (plural) steal (to be v-ed) (conjugation: present habitual tense)
murikubiwa	you (plural) are currently steal (to be v-ed) (conjugation: progressive tense)
mabiwa	you (plural) steal (to be v-ed) recently (conjugation: near past tense)
makabiwa	you (plural) steal (to be v-ed) (conjugation: remote past tense)
muchabiwa	you (plural) will steal (to be v-ed) (conjugation: future tense)
vanobiwa	they steal (to be v-ed) (conjugation: present habitual tense)
varikubiwa	they are currently steal (to be v-ed) (conjugation: progressive tense)
vabiwa	they steal (to be v-ed) recently (conjugation: near past tense)
vakabiwa	they steal (to be v-ed) (conjugation: remote past tense)
vachabiwa	they will steal (to be v-ed) (conjugation: future tense)
ndinobisa	I steal (to cause to v; make v) (conjugation: present habitual tense)
ndirikubisa	I am currently steal (to cause to v; make v) (conjugation: progressive tense)
ndabisa	I steal (to cause to v; make v) recently (conjugation: near past tense)
ndakabisa	I steal (to cause to v; make v) (conjugation: remote past tense)
ndichabisa	I will steal (to cause to v; make v) (conjugation: future tense)
unobisa	you (singular) steal (to cause to v; make v) (conjugation: present habitual tense)
urikubisa	you (singular) are currently steal (to cause to v; make v) (conjugation: progressive tense)
wabisa	you (singular) steal (to cause to v; make v) recently (conjugation: near past tense)
wakabisa	you (singular) steal (to cause to v; make v) (conjugation: remote past tense)
uchabisa	you (singular) will steal (to cause to v; make v) (conjugation: future tense)
anobisa	he/she/it steal (to cause to v; make v) (conjugation: present habitual tense)
arikubisa	he/she/it is currently steal (to cause to v; make v) (conjugation: progressive tense)
abisa	he/she/it steal (to cause to v; make v) recently (conjugation: near past tense)
akabisa	he/she/it steal (to cause to v; make v) (conjugation: remote past tense)
achabisa	he/she/it will steal (to cause to v; make v) (conjugation: future tense)
tinobisa	we steal (to cause to v; make v) (conjugation: present habitual tense)
tirikubisa	we are currently steal (to cause to v; make v) (conjugation: progressive tense)
tabisa	we steal (to cause to v; make v) recently (conjugation: near past tense)
takabisa	we steal (to cause to v; make v) (conjugation: remote past tense)
tichabisa	we will steal (to cause to v; make v) (conjugation: future tense)
munobisa	you (plural) steal (to cause to v; make v) (conjugation: present habitual tense)
murikubisa	you (plural) are currently steal (to cause to v; make v) (conjugation: progressive tense)
mabisa	you (plural) steal (to cause to v; make v) recently (conjugation: near past tense)
makabisa	you (plural) steal (to cause to v; make v) (conjugation: remote past tense)
muchabisa	you (plural) will steal (to cause to v; make v) (conjugation: future tense)
vanobisa	they steal (to cause to v; make v) (conjugation: present habitual tense)
varikubisa	they are currently steal (to cause to v; make v) (conjugation: progressive tense)
vabisa	they steal (to cause to v; make v) recently (conjugation: near past tense)
vakabisa	they steal (to cause to v; make v) (conjugation: remote past tense)
vachabisa	they will steal (to cause to v; make v) (conjugation: future tense)
ndinobana	I steal (to v each other) (conjugation: present habitual tense)
ndirikubana	I am currently steal (to v each other) (conjugation: progressive tense)
ndabana	I steal (to v each other) recently (conjugation: near past tense)
ndakabana	I steal (to v each other) (conjugation: remote past tense)
ndichabana	I will steal (to v each other) (conjugation: future tense)
unobana	you (singular) steal (to v each other) (conjugation: present habitual tense)
urikubana	you (singular) are currently steal (to v each other) (conjugation: progressive tense)
wabana	you (singular) steal (to v each other) recently (conjugation: near past tense)
wakabana	you (singular) steal (to v each other) (conjugation: remote past tense)
uchabana	you (singular) will steal (to v each other) (conjugation: future tense)
anobana	he/she/it steal (to v each other) (conjugation: present habitual tense)
arikubana	he/she/it is currently steal (to v each other) (conjugation: progressive tense)
abana	he/she/it steal (to v each other) recently (conjugation: near past tense)
akabana	he/she/it steal (to v each other) (conjugation: remote past tense)
achabana	he/she/it will steal (to v each other) (conjugation: future tense)
tinobana	we steal (to v each other) (conjugation: present habitual tense)
tirikubana	we are currently steal (to v each other) (conjugation: progressive tense)
tabana	we steal (to v each other) recently (conjugation: near past tense)
takabana	we steal (to v each other) (conjugation: remote past tense)
tichabana	we will steal (to v each other) (conjugation: future tense)
munobana	you (plural) steal (to v each other) (conjugation: present habitual tense)
murikubana	you (plural) are currently steal (to v each other) (conjugation: progressive tense)
mabana	you (plural) steal (to v each other) recently (conjugation: near past tense)
makabana	you (plural) steal (to v each other) (conjugation: remote past tense)
muchabana	you (plural) will steal (to v each other) (conjugation: future tense)
vanobana	they steal (to v each other) (conjugation: present habitual tense)
varikubana	they are currently steal (to v each other) (conjugation: progressive tense)
vabana	they steal (to v each other) recently (conjugation: near past tense)
vakabana	they steal (to v each other) (conjugation: remote past tense)
vachabana	they will steal (to v each other) (conjugation: future tense)
ndinobira	I steal (to v for / at / on behalf of) (conjugation: present habitual tense)
ndirikubira	I am currently steal (to v for / at / on behalf of) (conjugation: progressive tense)
ndabira	I steal (to v for / at / on behalf of) recently (conjugation: near past tense)
ndakabira	I steal (to v for / at / on behalf of) (conjugation: remote past tense)
ndichabira	I will steal (to v for / at / on behalf of) (conjugation: future tense)
unobira	you (singular) steal (to v for / at / on behalf of) (conjugation: present habitual tense)
urikubira	you (singular) are currently steal (to v for / at / on behalf of) (conjugation: progressive tense)
wabira	you (singular) steal (to v for / at / on behalf of) recently (conjugation: near past tense)
wakabira	you (singular) steal (to v for / at / on behalf of) (conjugation: remote past tense)
uchabira	you (singular) will steal (to v for / at / on behalf of) (conjugation: future tense)
anobira	he/she/it steal (to v for / at / on behalf of) (conjugation: present habitual tense)
arikubira	he/she/it is currently steal (to v for / at / on behalf of) (conjugation: progressive tense)
abira	he/she/it steal (to v for / at / on behalf of) recently (conjugation: near past tense)
akabira	he/she/it steal (to v for / at / on behalf of) (conjugation: remote past tense)
achabira	he/she/it will steal (to v for / at / on behalf of) (conjugation: future tense)
tinobira	we steal (to v for / at / on behalf of) (conjugation: present habitual tense)
tirikubira	we are currently steal (to v for / at / on behalf of) (conjugation: progressive tense)
tabira	we steal (to v for / at / on behalf of) recently (conjugation: near past tense)
takabira	we steal (to v for / at / on behalf of) (conjugation: remote past tense)
tichabira	we will steal (to v for / at / on behalf of) (conjugation: future tense)
munobira	you (plural) steal (to v for / at / on behalf of) (conjugation: present habitual tense)
murikubira	you (plural) are currently steal (to v for / at / on behalf of) (conjugation: progressive tense)
mabira	you (plural) steal (to v for / at / on behalf of) recently (conjugation: near past tense)
makabira	you (plural) steal (to v for / at / on behalf of) (conjugation: remote past tense)
muchabira	you (plural) will steal (to v for / at / on behalf of) (conjugation: future tense)
vanobira	they steal (to v for / at / on behalf of) (conjugation: present habitual tense)
varikubira	they are currently steal (to v for / at / on behalf of) (conjugation: progressive tense)
vabira	they steal (to v for / at / on behalf of) recently (conjugation: near past tense)
vakabira	they steal (to v for / at / on behalf of) (conjugation: remote past tense)
vachabira	they will steal (to v for / at / on behalf of) (conjugation: future tense)
ndinobura	I steal (to un-v; reverse the action of v) (conjugation: present habitual tense)
ndirikubura	I am currently steal (to un-v; reverse the action of v) (conjugation: progressive tense)
ndabura	I steal (to un-v; reverse the action of v) recently (conjugation: near past tense)
ndakabura	I steal (to un-v; reverse the action of v) (conjugation: remote past tense)
ndichabura	I will steal (to un-v; reverse the action of v) (conjugation: future tense)
unobura	you (singular) steal (to un-v; reverse the action of v) (conjugation: present habitual tense)
urikubura	you (singular) are currently steal (to un-v; reverse the action of v) (conjugation: progressive tense)
wabura	you (singular) steal (to un-v; reverse the action of v) recently (conjugation: near past tense)
wakabura	you (singular) steal (to un-v; reverse the action of v) (conjugation: remote past tense)
uchabura	you (singular) will steal (to un-v; reverse the action of v) (conjugation: future tense)
anobura	he/she/it steal (to un-v; reverse the action of v) (conjugation: present habitual tense)
arikubura	he/she/it is currently steal (to un-v; reverse the action of v) (conjugation: progressive tense)
abura	he/she/it steal (to un-v; reverse the action of v) recently (conjugation: near past tense)
akabura	he/she/it steal (to un-v; reverse the action of v) (conjugation: remote past tense)
achabura	he/she/it will steal (to un-v; reverse the action of v) (conjugation: future tense)
tinobura	we steal (to un-v; reverse the action of v) (conjugation: present habitual tense)
tirikubura	we are currently steal (to un-v; reverse the action of v) (conjugation: progressive tense)
tabura	we steal (to un-v; reverse the action of v) recently (conjugation: near past tense)
takabura	we steal (to un-v; reverse the action of v) (conjugation: remote past tense)
tichabura	we will steal (to un-v; reverse the action of v) (conjugation: future tense)
munobura	you (plural) steal (to un-v; reverse the action of v) (conjugation: present habitual tense)
murikubura	you (plural) are currently steal (to un-v; reverse the action of v) (conjugation: progressive tense)
mabura	you (plural) steal (to un-v; reverse the action of v) recently (conjugation: near past tense)
